Periodo;IndiceIPC;VARIABLE1;V1_S;VARIABLE2;V2_S;VARIABLE3;V3_S
dic.2009;76,06;10000;-0,692532577;;;;
ene.2010;76,46;23333;1,43543116;;;;
feb.2010;76,67;10000;-0,692532577;;;;
mar.2010;76,74;23333;1,43543116;;;;
abr.2010;77,09;10000;-0,692532577;;;;
may.2010;77,37;23333;1,43543116;;;;
jun.2010;77,37;10000;-0,692532577;;;;
jul.2010;77,87;10000;-0,692532577;;;;
ago.2010;77,79;23333;1,43543116;;;;
sept.2010;78,10;10000;-0,692532577;;;;
oct.2010;78,18;10000;-0,692532577;;;;
nov.2010;78,23;23333;1,43543116;;;;
dic.2010;78,33;10000;-0,692532577;;;;
ene.2011;78,54;10000;-0,692532577;;;;
feb.2011;78,72;23333;1,43543116;;;;
mar.2011;79,32;10000;-0,692532577;;;;
abr.2011;79,57;10000;-0,692532577;;;;
may.2011;79,89;23333;1,43543116;;;;
jun.2011;80,03;10000;-0,692532577;;;;
jul.2011;80,13;10000;-0,692532577;;;;
ago.2011;80,26;23333;1,43543116;;;;
sept.2011;80,66;10000;-0,692532577;;;;
oct.2011;81,05;10000;-0,692532577;;;;
nov.2011;81,31;23333;1,43543116;;;;
dic.2011;81,80;10000;-0,692532577;;;;
ene.2012;81,87;10000;-0,692532577;;;;
feb.2012;82,19;23333;1,43543116;;;;
mar.2012;82,33;10000;-0,692532577;;;;
abr.2012;82,37;10000;-0,692532577;;;;
may.2012;82,39;23333;1,43543116;;;;
jun.2012;82,15;10000;-0,692532577;;;;
jul.2012;82,14;10000;-0,692532577;;;;
ago.2012;82,32;23333;1,43543116;;;;
sept.2012;82,95;10000;-0,692532577;;;;
oct.2012;83,42;10000;-0,692532577;;;;
nov.2012;83,04;23333;1,43543116;;;;
dic.2012;83,02;10000;-0,692532577;;;;
ene.2013;83,17;10000;-0,692532577;;;;
feb.2013;83,26;23333;1,43543116;;;;
mar.2013;83,58;10000;-0,692532577;;;;
abr.2013;83,18;10000;-0,692532577;;;;
may.2013;83,17;23333;1,43543116;;;;
jun.2013;83,70;10000;-0,692532577;;;;
jul.2013;83,92;10000;-0,692532577;;;;
ago.2013;84,12;23333;1,43543116;;;;
sept.2013;84,58;10000;-0,692532577;;;;
oct.2013;84,70;10000;-0,692532577;;;;
nov.2013;85,01;23333;1,43543116;;;;
dic.2013;85,52;10000;-0,692532577;;;;
ene.2014;85,67;10000;-0,692532577;;;;
feb.2014;86,09;23333;1,43543116;;;;
mar.2014;86,81;10000;-0,692532577;;;;
abr.2014;87,35;10000;-0,692532577;;;;
may.2014;87,65;23333;1,43543116;;;;
jun.2014;87,69;10000;-0,692532577;;;;
jul.2014;87,90;10000;-0,692532577;;;;
ago.2014;88,18;23333;1,43543116;;;;
sept.2014;88,92;10000;-0,692532577;;;;
oct.2014;89,84;10000;-0,692532577;;;;
nov.2014;89,87;23333;1,43543116;;;;
dic.2014;89,50;10000;-0,692532577;;;;
ene.2015;89,56;10000;-0,692532577;;;;
feb.2015;89,88;23333;1,43543116;;;;
mar.2015;90,44;10000;-0,692532577;;;;
abr.2015;90,97;10000;-0,692532577;;;;
may.2015;91,13;23333;1,43543116;;;;
jun.2015;91,57;10000;-0,692532577;;;;
jul.2015;91,95;10000;-0,692532577;;;;
ago.2015;92,58;23333;1,43543116;;;;
sept.2015;93,05;10000;-0,692532577;;;;
oct.2015;93,43;10000;-0,692532577;;;;
nov.2015;93,40;23333;1,43543116;;;;
dic.2015;93,41;10000;-0,692532577;;;;
ene.2016;93,85;10000;-0,692532577;;;;
feb.2016;94,11;23333;1,43543116;;;;
mar.2016;94,47;10000;-0,692532577;;;;
abr.2016;94,78;10000;-0,692532577;;;;
may.2016;94,99;23333;1,43543116;;;;
jun.2016;95,42;10000;-0,692532577;;;;
jul.2016;95,65;10000;-0,692532577;;;;
ago.2016;95,70;23333;1,43543116;;;;
sept.2016;95,93;10000;-0,692532577;;;;
oct.2016;96,09;10000;-0,692532577;;;;
nov.2016;96,14;23333;1,43543116;;;;
dic.2016;95,94;10000;-0,692532577;;;;
ene.2017;96,46;10000;-0,692532577;;;;
feb.2017;96,69;23333;1,43543116;;;;
mar.2017;97,06;10000;-0,692532577;;;;
abr.2017;97,30;10000;-0,692532577;;;;
may.2017;97,42;23333;1,43543116;;;;
jun.2017;97,04;10000;-0,692532577;;;;
jul.2017;97,27;10000;-0,692532577;;;;
ago.2017;97,47;23333;1,43543116;;;;
sept.2017;97,32;10000;-0,692532577;;;;
oct.2017;97,89;10000;-0,692532577;;;;
nov.2017;97,98;23333;1,43543116;;;;
dic.2017;98,12;10000;-0,692532577;;;;
ene.2018;98,57;10000;-0,692532577;;;;
feb.2018;98,62;23333;1,43543116;;;;
mar.2018;98,82;10000;-0,692532577;;;;
abr.2018;99,13;10000;-0,692532577;;;;
may.2018;99,41;23333;1,43543116;;;;
jun.2018;99,51;10000;-0,692532577;;;;
jul.2018;99,86;10000;-0,692532577;;;;
ago.2018;100,04;23333;1,43543116;;;;
sept.2018;100,38;10000;-0,692532577;;;;
oct.2018;100,74;10000;-0,692532577;;;;
nov.2018;100,74;23333;1,43543116;;;;
dic.2018;100,64;10000;-0,692532577;;;;
ene.2019;100,75;10000;-0,692532577;;;;
feb.2019;100,79;23333;1,43543116;;;;
mar.2019;101,27;10000;-0,692532577;;;;
abr.2019;101,54;10000;-0,692532577;;;;
may.2019;102,15;23333;1,43543116;;;;
jun.2019;102,20;10000;-0,692532577;;;;
jul.2019;102,43;10000;-0,692532577;;;;
ago.2019;102,62;23333;1,43543116;;;;
sept.2019;102,63;10000;-0,692532577;;;;
oct.2019;103,47;10000;-0,692532577;;;;
nov.2019;103,55;23333;1,43543116;;;;
dic.2019;103,66;10000;-0,692532577;;;;
ene.2020;104,24;10000;-0,692532577;;;;
feb.2020;104,71;23333;1,43543116;;;;
mar.2020;105,06;10000;-0,692532577;;;;
abr.2020;105,01;10000;-0,692532577;;;;
may.2020;104,96;23333;1,43543116;;;;
jun.2020;104,89;10000;-0,692532577;;;;
jul.2020;104,99;10000;-0,692532577;;;;
ago.2020;105,13;23333;1,43543116;;;;
sept.2020;105,80;10000;-0,692532577;;;;
oct.2020;106,52;10000;-0,692532577;;;;
nov.2020;106,38;23333;1,43543116;;;;
dic.2020;106,74;10000;-0,692532577;;;;
ene.2021;107,49;10000;-0,692532577;;;;
feb.2021;107,69;23333;1,43543116;;;;
mar.2021;108,09;10000;-0,692532577;;;;
abr.2021;108,50;10000;-0,692532577;;;;
may.2021;108,79;23333;1,43543116;;;;
jun.2021;108,88;10000;-0,692532577;;;;
jul.2021;109,76;10000;-0,692532577;;;;
ago.2021;110,15;23333;1,43543116;;;;
sept.2021;111,45;10000;-0,692532577;;;;
oct.2021;112,94;10000;-0,692532577;;;;
nov.2021;113,51;23333;1,43543116;;;;
dic.2021;114,39;10000;-0,692532577;;;;
ene.2022;115,77;10000;-0,692532577;;;;
feb.2022;116,10;23333;1,43543116;;;;
mar.2022;118,26;10000;-0,692532577;;;;
abr.2022;119,91;10000;-0,692532577;;;;
may.2022;121,35;23333;1,43543116;;;;
jun.2022;122,48;10000;-0,692532577;;;;
jul.2022;124,16;10000;-0,692532577;;;;
ago.2022;125,67;10000;-0,692532577;;;;
sept.2022;126,75;10000;-0,692532577;;;;
oct.2022;127,41;10000;-0,692532577;;;;
nov.2022;128,65;10000;-0,692532577;;;;
dic.2022;129,02;10000;-0,692532577;;;;
ene.2023;130,05;10000;-0,692532577;;;;
feb.2023;129,97;23333;1,43543116;;;;
mar.2023;131,38;10000;-0,692532577;;;;
abr.2023;131,79;10000;-0,692532577;;;;
may.2023;131,94;23333;1,43543116;;;;
jun.2023;131,74;10000;-0,692532577;;;;
jul.2023;132,20;10000;-0,692532577;;;;
ago.2023;132,35;23333;1,43543116;;;;
sept.2023;133,24;10000;-0,692532577;;;;
oct.2023;133,82;10000;-0,692532577;;;;
nov.2023;134,82;23333;1,43543116;;;;
dic.2023;134,10;10000;-0,692532577;;;;
;;STD;6265,614291;;;;
;;PROM;14339,14201;;;;
